Invoice,Invoice Number,Supplier Number,Invoice Date,Submit for Approval?,Handling Amount,Misc Amount,Shipping Amount,Line Level Taxation,Requester Email,Chart of Accounts,Currency,Image Scan Filename,Type of Document,Purchasing Organization,Remit To Code,Type of Invoice
invoice Line,Invoice Number,Supplier Number,Description,Price,Account Segment 1,Account Segment 2,Account Segment 3,Account Segment 4,Account Segment 5,Account Segment 6,Account Segment 7,Account Segment 8,Account Segment 9,Commodity Name,
Invoice,BPT128129x44932,0000128129,2023-01-06,No,,,,No,liz.williams@messer-us.com,US40,USD,,Invoice,,0000128129,Taxes
Invoice Line,BPT128129x44932,0000128129,2341095012211,$291.9100,Z,0000106213,,,,No WBS,Property Tax,,09-04-05,09-04-05
Invoice Line,BPT128129x44932,0000128129,2341358012211,$99.8100,K ,0000502501,0030405900,,,No WBS,Property Tax,,09-04-05,09-04-05
Invoice Line,BPT128129x44932,0000128129,2341608012211,$57.1100,Z,0000106213,,,,No WBS,Property Tax,,09-04-05,09-04-05
Invoice Line,BPT128129x44932,0000128129,2342266012211,$59.8200,Z,0000106213,,,,No WBS,Property Tax,,09-04-05,09-04-05
Invoice Line,BPT128129x44932,0000128129,2343203012211,$150.5100,Z,0000106213,,,,No WBS,Property Tax,,09-04-05,09-04-05
Invoice Line,BPT128129x44932,0000128129,2344195012211,$32.7700,K ,0000502501,0030405900,,,No WBS,Property Tax,,09-04-05,09-04-05
Invoice Line,BPT128129x44932,0000128129,2349182012211,$377.1100,Z,0000106213,,,,No WBS,Property Tax,,09-04-05,09-04-05
Invoice Line,BPT128129x44932,0000128129,2350322012211,$5116.1900,Z,0000106213,,,,No WBS,Property Tax,,09-04-05,09-04-05
Invoice Line,BPT128129x44932,0000128129,2350664012211,$182.3300,K ,0000502501,0030405900,,,No WBS,Property Tax,,09-04-05,09-04-05
Invoice Line,BPT128129x44932,0000128129,2351675012211,$86.5000,K ,0000502501,0030405900,,,No WBS,Property Tax,,09-04-05,09-04-05
Invoice Line,BPT128129x44932,0000128129,2351699012211,$33.8500,K ,0000502501,0030405900,,,No WBS,Property Tax,,09-04-05,09-04-05
Invoice Line,BPT128129x44932,0000128129,2368116012211,$2016.7500,Z,0000106213,,,,No WBS,Property Tax,,09-04-05,09-04-05
Invoice Line,BPT128129x44932,0000128129,2423602012211,$243.0300,K ,0000502501,0030405900,,,No WBS,Property Tax,,09-04-05,09-04-05
Invoice Line,BPT128129x44932,0000128129,2434849012211,$174.8600,Z,0000106213,,,,No WBS,Property Tax,,09-04-05,09-04-05
Invoice Line,BPT128129x44932,0000128129,2475938012211,$188.3000,Z ,0000106213,,,,No WBS,Property Tax,,09-04-05,09-04-05
Invoice Line,BPT128129x44932,0000128129,2475940012211,$56.5200,Z ,0000106213,,,,No WBS,Property Tax,,09-04-05,09-04-05
Invoice Line,BPT128129x44932,0000128129,2476179012211,$139.0300,Z,0000106213,,,,No WBS,Property Tax,,09-04-05,09-04-05
Invoice Line,BPT128129x44932,0000128129,2476275012211,$13.3100,K ,0000502501,0030405900,,,No WBS,Property Tax,,09-04-05,09-04-05
Invoice Line,BPT128129x44932,0000128129,2476405012211,$73.7300,Z,0000106213,,,,No WBS,Property Tax,,09-04-05,09-04-05
Invoice Line,BPT128129x44932,0000128129,2694562012211,$348.3400,Z,0000106213,,,,No WBS,Property Tax,,09-04-05,09-04-05
Invoice Line,BPT128129x44932,0000128129,2730162012211,$134.7100,K ,0000502501,0030405900,,,No WBS,Property Tax,,09-04-05,09-04-05
Invoice Line,BPT128129x44932,0000128129,2730165012211,$257.9700,Z,0000106213,,,,No WBS,Property Tax,,09-04-05,09-04-05
Invoice Line,BPT128129x44932,0000128129,2730170012211,$4085.0700,K ,0000502501,0030405900,,,No WBS,Property Tax,,09-04-05,09-04-05
Invoice Line,BPT128129x44932,0000128129,8203114012211,$328.3500,K ,0000502501,0030405900,,,No WBS,Property Tax,,09-04-05,09-04-05
